row,rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,assigned_condition,anchor_condition,language_version,stimulus,responses,is_anchor,wordfirst,value,phase,correct
1,13627,32,text,0,13631,0.0-0.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2089,32,text,1,15725,0.0-1.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,5009,75,single-audio,2,20838,0.0-2.0,xo6so9gn428vyyg,0,0,1,audio/checkvolume.mp3,NULL,NULL,NULL,NULL,NULL,NULL
4,2989,32,text,3,23828,0.0-3.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,-1000,-1,single-audio,4,54022,0.0-4.0-0.0-0.0-0.0-0.0,xo6so9gn428vyyg,0,0,1,audio/slide1.mp3,NULL,NULL,NULL,NULL,NULL,NULL
6,-1000,-1,single-audio,5,65331,0.0-4.0-0.0-0.0-0.0-1.0,xo6so9gn428vyyg,0,0,1,audio/slide2.mp3,NULL,NULL,NULL,NULL,NULL,NULL
7,-1000,-1,single-audio,6,69512,0.0-4.0-0.0-0.0-0.0-2.0,xo6so9gn428vyyg,0,0,1,audio/slide3a.mp3,NULL,NULL,NULL,NULL,NULL,NULL
8,-1000,-1,single-audio,7,70333,0.0-4.0-0.0-0.0-0.0-3.0,xo6so9gn428vyyg,0,0,1,audio/a8.mp3,NULL,NULL,NULL,NULL,NULL,NULL
9,-1000,-1,single-audio,8,75960,0.0-4.0-0.0-0.0-0.0-4.0,xo6so9gn428vyyg,0,0,1,audio/slide3b.mp3,NULL,NULL,NULL,NULL,NULL,NULL
10,-1000,-1,single-audio,9,76792,0.0-4.0-0.0-0.0-0.0-5.0,xo6so9gn428vyyg,0,0,1,audio/a8.mp3,NULL,NULL,NULL,NULL,NULL,NULL
11,-1000,-1,single-audio,10,80811,0.0-4.0-0.0-0.0-0.0-6.0,xo6so9gn428vyyg,0,0,1,audio/slide3c.mp3,NULL,NULL,NULL,NULL,NULL,NULL
12,-1000,-1,single-audio,11,81642,0.0-4.0-0.0-0.0-0.0-7.0,xo6so9gn428vyyg,0,0,1,audio/a8.mp3,NULL,NULL,NULL,NULL,NULL,NULL
13,-1000,-1,single-audio,12,87831,0.0-4.0-0.0-0.0-0.0-8.0,xo6so9gn428vyyg,0,0,1,audio/slide3d.mp3,NULL,NULL,NULL,NULL,NULL,NULL
14,-1000,-1,single-audio,13,110292,0.0-4.0-0.0-0.0-0.0-9.0,xo6so9gn428vyyg,0,0,1,audio/slide4a.mp3,NULL,NULL,NULL,NULL,NULL,NULL
15,-1000,-1,single-audio,14,111121,0.0-4.0-0.0-0.0-0.0-10.0,xo6so9gn428vyyg,0,0,1,audio/a5.mp3,NULL,NULL,NULL,NULL,NULL,NULL
16,-1000,-1,single-audio,15,116474,0.0-4.0-0.0-0.0-0.0-11.0,xo6so9gn428vyyg,0,0,1,audio/slide4b.mp3,NULL,NULL,NULL,NULL,NULL,NULL
17,-1000,-1,single-audio,16,117311,0.0-4.0-0.0-0.0-0.0-12.0,xo6so9gn428vyyg,0,0,1,audio/a5.mp3,NULL,NULL,NULL,NULL,NULL,NULL
18,-1000,-1,single-audio,17,120969,0.0-4.0-0.0-0.0-0.0-13.0,xo6so9gn428vyyg,0,0,1,audio/slide4c.mp3,NULL,NULL,NULL,NULL,NULL,NULL
19,-1000,-1,single-audio,18,121801,0.0-4.0-0.0-0.0-0.0-14.0,xo6so9gn428vyyg,0,0,1,audio/a5.mp3,NULL,NULL,NULL,NULL,NULL,NULL
20,-1000,-1,single-audio,19,143821,0.0-4.0-0.0-0.0-0.0-15.0,xo6so9gn428vyyg,0,0,1,audio/slide4d.mp3,NULL,NULL,NULL,NULL,NULL,NULL
21,12174,32,text,20,155996,0.0-4.0-0.0-0.0-1.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,-1000,-1,single-audio,21,156821,0.0-4.0-0.0-1.0-0.0-0.0,xo6so9gn428vyyg,0,0,1,audio/a8.mp3,NULL,NULL,NULL,NULL,NULL,NULL
23,56262,NULL,survey-text,22,213085,0.0-4.0-0.0-1.0-0.0-1.0,xo6so9gn428vyyg,0,0,1,NULL,"{""Q0"":""apple""}",NULL,NULL,NULL,learning,NULL
24,1294,32,text,23,214380,0.0-4.0-0.0-1.0-0.0-2.0-0.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,-1000,-1,single-audio,24,215211,0.0-4.0-0.0-2.0-0.0-0.0,xo6so9gn428vyyg,0,0,1,audio/a5.mp3,NULL,NULL,NULL,NULL,NULL,NULL
26,1200,NULL,survey-text,25,216412,0.0-4.0-0.0-2.0-0.0-1.0,xo6so9gn428vyyg,0,0,1,NULL,"{""Q0"":""water""}",NULL,NULL,NULL,learning,NULL
27,719,32,text,26,217132,0.0-4.0-0.0-2.0-0.0-2.0-0.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,2687,32,text,27,219820,0.0-5.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,-1000,-1,single-audio,28,377397,0.0-6.0,xo6so9gn428vyyg,0,0,1,audio/streamb.mp3,NULL,NULL,NULL,NULL,NULL,NULL
30,35584,32,text,29,412981,0.0-7.0,xo6so9gn428vyyg,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,-1000,-1,single-audio,30,413811,0.0-8.0-0.0,xo6so9gn428vyyg,0,0,1,audio/pb6.mp3,NULL,NULL,NULL,NULL,NULL,NULL
32,-1000,-1,single-audio,31,415041,0.0-8.0-1.0,xo6so9gn428vyyg,0,0,1,audio/b5.mp3,NULL,NULL,NULL,NULL,NULL,NULL
33,2330,49,single-stim,32,417372,0.0-8.0-2.0,xo6so9gn428vyyg,0,0,1,"<p>Which sounded more like a word in the alien language?</p><p>Press <strong>â€œ1â€</strong> for th",NULL,,,NULL,test,0
34,-1000,-1,single-audio,33,418201,0.0-8.0-0.1,xo6so9gn428vyyg,0,0,1,audio/pb1.mp3,NULL,NULL,NULL,NULL,NULL,NULL
35,-1000,-1,single-audio,34,419432,0.0-8.0-1.1,xo6so9gn428vyyg,0,0,1,audio/b7.mp3,NULL,NULL,NULL,NULL,NULL,NULL
36,379,50,single-stim,35,419813,0.0-8.0-2.1,xo6so9gn428vyyg,0,0,1,"<p>Which sounded more like a word in the alien language?</p><p>Press <strong>â€œ1â€</strong> for th",NULL,,,NULL,test,1
37,-1000,-1,single-audio,36,420641,0.0-8.0-0.2,xo6so9gn428vyyg,0,0,1,audio/pb4.mp3,NULL,NULL,NULL,NULL,NULL,NULL
38,-1000,-1,single-audio,37,421841,0.0-8.0-1.2,xo6so9gn428vyyg,0,0,1,audio/b8.mp3,NULL,NULL,NULL,NULL,NULL,NULL
39,274,49,single-stim,38,422116,0.0-8.0-2.2,xo6so9gn428vyyg,0,0,1,"<p>Which sounded more like a word in the alien language?</p><p>Press <strong>â€œ1â€</strong> for th",NULL,,,NULL,test,0
40,-1000,-1,single-audio,39,422941,0.0-8.0-0.3,xo6so9gn428vyyg,0,0,1,audio/pb1.mp3,NULL,NULL,NULL,NULL,NULL,NULL
41,-1000,-1,single-audio,40,424171,0.0-8.0-1.3,xo6so9gn428vyyg,0,0,1,audio/b1.mp3,NULL,NULL,NULL,NULL,NULL,NULL
42,227,49,single-stim,41,424398,0.0-8.0-2.3,xo6so9gn428vyyg,0,0,1,"<p>Which sounded more like a word in the alien language?</p><p>Press <strong>â€œ1â€</strong> for th",NULL,,,NULL,test,0
43,-1000,-1,single-audio,42,425231,0.0-8.0-0.4,xo6so9gn428vyyg,0,0,1,audio/pb5.mp3,NULL,NULL,NULL,NULL,NULL,NULL
